"Projections","Avg Test AUC","Highest Present Suitability","Percent Suitable Area"
"Historic",0.7728,0.942544996738434,0.238157464880758
"Historic 1921_1950",0.7834,0.940671980381012,0.235870630512904
"Historic 1951_1980",0.7794,0.943536996841431,0.237830774256779
