FID,POINT_X,POINT_Y,POINT_Z
169,25165.84791,-446895.9748,190.1
170,25158.58335,-446940.1797,196.4
171,22405.57244,-441168.4595,187.6
172,22370.72656,-441443.2804,187.6
173,22757.33829,-440805.0009,219.6
174,22744.64602,-441013.3947,212.3
175,22575.18507,-440940.8055,233.4
176,22583.43497,-441156.1701,239
177,21967.5916,-440732.6962,65.2
178,22058.37775,-442014.0559,490.6
179,21791.47446,-440948.5228,85.9
180,21882.87232,-442545.6517,545.9
181,21881.96359,-442551.5701,547.2
182,21881.04533,-442553.606,547.7
183,21879.51077,-442555.4586,547.7
184,21711.32371,-441019.7161,101.1
185,21645.53697,-441112.6891,123
186,21517.64875,-441234.4707,167.4
187,21455.68002,-441317.0794,183.9
188,22268.72644,-441273.8206,409.2
189,22315.72761,-440816.3063,85.4
190,22291.90202,-440947.4476,108.1
191,21582.03458,-441321.3907,320.5
192,17543.96869,-445092.2795,366.7
193,17513.3757,-445037.4336,369.5
194,17486.73731,-445035.4532,370
195,17474.5662,-444953.9484,370.6
196,27445.06209,-443857.9542,418.5
197,27600.54406,-443616.0175,369.6
198,28287.85486,-442998.9239,77.3
199,28170.04717,-443076.3976,80.2
200,28109.39743,-443170.8799,94.3
201,13445.26462,-439927.3967,584.8
202,28117.71162,-443171.5925,99.8
203,13448.16166,-440010.4044,567.6
204,28038.66032,-443240.0656,106.5
205,28009.16081,-443256.9839,116.8
206,12665.50192,-440796.5781,879.9
207,27957.21728,-443283.0326,118.9
208,12650.30608,-440823.0382,840.7
209,27886.88557,-443335.2073,161.1
210,27808.03303,-443418.8374,185.1
211,12630.46262,-440828.0585,827.2
212,27724.86425,-443501.0015,215.1
213,27667.58917,-443594.1753,229.2
214,12595.87187,-440850.6638,822.6
215,35670.19276,-445526.0173,274.3
216,35732.9693,-445704.5335,357
217,13242.61232,-440123.126,698.2
218,13126.30551,-440135.1337,687.3
219,13787.2903,-440600.5735,523.2
220,13804.20384,-440592.412,520.9
221,14009.79517,-440407.389,556.9
222,13862.11881,-440336.9994,508.3
223,16984.87698,-444576.6606,265.1
224,13832.60433,-440355.3495,501.5
225,13587.21657,-440182.4996,396.2
226,17461.83411,-444899.8059,272
227,13575.49378,-440164.0295,349
