OBJECTID,FID_,OBJECTID_1,OBJECTID_2,PATH,NAME,DATETIME,DIRECTION,GLOBALID,POINT_X,POINT_Y,POINT_Z,POINT_M,SOURCEDATA,F_AREA,ACRES,INSIDE_X,INSIDE_Y,cwd,fog,ppt,tmn,tmx
20,126,127,127,D:\Users\Wildlands\Desktop\QUTO\0F4A2518.jpg,0F4A2518.jpg,2015:05:23 07:16:15,65535,{2B5AE082-C86B-4CBB-8414-4762B4054C70},-119.775915,34.05387167,171.1,1, ,0,0,0,0,933.4000244,0.226034999,477.3169861,5.961599827,22.73259926
21,133,134,134,D:\Users\Wildlands\Desktop\QUTO\0F4A2534.jpg,0F4A2534.jpg,2015:05:23 07:18:47,65535,{F89EF826-D624-453C-8999-60B54AFED6CF},-119.7697033,34.05435,211.7,1, ,0,0,0,0,-9999,-9999,-9999,-9999,-9999
22,152,153,153,D:\Users\Wildlands\Desktop\QUTO\0F4A2627.jpg,0F4A2627.jpg,2015:05:23 07:38:58,65535,{68D88817-E33E-4AAC-A087-22636FF471D2},-119.8211567,34.05499167,58.4,1, ,0,0,0,0,-9999,-9999,-9999,-9999,-9999
23,163,164,164,D:\Users\Wildlands\Desktop\QUTO\0F4A2638.jpg,0F4A2638.jpg,2015:05:23 07:39:15,65535,{A1035BC0-8D03-49B7-9E02-161F13ADEAAC},-119.8209967,34.054935,57.7,1, ,0,0,0,0,-9999,-9999,-9999,-9999,-9999
24,180,181,181,D:\Users\Wildlands\Desktop\QUTO\0F4A3306.jpg,0F4A3306.jpg,2015:04:29 07:55:44,65535,{7E2E7CDB-725F-4EF6-9FCF-CF5849D5E6B8},-119.8534383,34.04013667,335.7,1, ,0,0,0,0,892.1270142,0.404702991,572.8699951,5.345600128,23.40519905
25,183,184,184,D:\Users\Wildlands\Desktop\QUTO\0F4A3324.jpg,0F4A3324.jpg,2015:04:29 07:55:54,65535,{52601855-746A-4E20-B442-9E0283241938},-119.8517233,34.040165,333.1,1, ,0,0,0,0,892.1270142,0.404702991,572.8699951,5.345600128,23.40519905
26,187,188,188,D:\Users\Wildlands\Desktop\QUTO\0F4A3333.jpg,0F4A3333.jpg,2015:04:29 07:56:05,65535,{B39F2296-0EA4-449C-B881-B3D1E086E33F},-119.8517067,34.040515,338.4,1, ,0,0,0,0,892.1270142,0.404702991,572.8699951,5.345600128,23.40519905
27,207,208,208,D:\Users\Wildlands\Desktop\QUTO\0F4A3353.jpg,0F4A3353.jpg,2015:04:29 07:56:20,65535,{E5F0BEC4-6687-4736-BB7D-E647B0D77191},-119.8517733,34.040505,342.1,1, ,0,0,0,0,892.1270142,0.404702991,572.8699951,5.345600128,23.40519905
28,212,213,213,D:\Users\Wildlands\Desktop\QUTO\0F4A3409.jpg,0F4A3409.jpg,2015:05:28 10:57:01,65535,{467165E6-0A5E-43A8-B60E-C6C822000FA0},-119.612995,34.01787,180,1, ,0,0,0,0,-9999,-9999,-9999,-9999,-9999
29,235,236,236,D:\Users\Wildlands\Desktop\QUTO\0F4A3432.jpg,0F4A3432.jpg,2015:05:28 10:57:12,65535,{002CEA00-CE67-4A74-A38E-B98A668D2DFD},-119.613145,34.01780833,191.2,1, ,0,0,0,0,-9999,-9999,-9999,-9999,-9999
