"Projections","Avg Test AUC","Highest Present Suitability","Percent Suitable Area"
"Historic",0.8937,0.907959997653961,0.2509117432531
"Historic 1921_1950",0.8912,0.894483983516693,0.284099197665937
"Historic 1951_1980",0.8965,0.916100978851318,0.242888402625821
