"Projections","Avg Test AUC","Highest Present Suitability","Percent Suitable Area"
"Historic",0.7771,0.845286011695862,0.264619405423064
"Historic 1921_1950",0.7609,0.826407015323639,0.267886311662855
"Historic 1951_1980",0.7639,0.854270994663239,0.25547206795165
